00001 A00     0 Cholera                                                      Cholera
00375 A5040   1 Late congenital neurosyphilis, unspecified                   Late congenital neurosyphilis, unspecified
00376 A5041   1 Late congenital syphilitic meningitis                        Late congenital syphilitic meningitis
00377 A5042   1 Late congenital syphilitic encephalitis                      Late congenital syphilitic encephalitis
00378 A5043   1 Late congenital syphilitic polyneuropathy                    Late congenital syphilitic polyneuropathy
00379 A5044   1 Late congenital syphilitic optic nerve atrophy               Late congenital syphilitic optic nerve atrophy
00380 A5045   1 Juvenile general paresis                                     Juvenile general paresis
00381 A5049   1 Other late congenital neurosyphilis                          Other late congenital neurosyphilis
00382 A505    0 Other late congenital syphilis, symptomatic                  Other late congenital syphilis, symptomatic
00383 A5051   1 Clutton's joints                                             Clutton's joints
00384 A5052   1 Hutchinson's teeth                                           Hutchinson's teeth
00385 A5053   1 Hutchinson's triad                                           Hutchinson's triad
00386 A5054   1 Late congenital cardiovascular syphilis                      Late congenital cardiovascular syphilis
00387 A5055   1 Late congenital syphilitic arthropathy                       Late congenital syphilitic arthropathy
00388 A5056   1 Late congenital syphilitic osteochondropathy                 Late congenital syphilitic osteochondropathy
00389 A5057   1 Syphilitic saddle nose                                       Syphilitic saddle nose
00390 A5059   1 Other late congenital syphilis, symptomatic                  Other late congenital syphilis, symptomatic
00391 A506    1 Late congenital syphilis, latent                             Late congenital syphilis, latent
00392 A507    1 Late congenital syphilis, unspecified                        Late congenital syphilis, unspecified
00393 A509    1 Congenital syphilis, unspecified                             Congenital syphilis, unspecified
00394 A51     0 Early syphilis                                               Early syphilis
00395 A510    1 Primary genital syphilis                                     Primary genital syphilis
00396 A511    1 Primary anal syphilis                                        Primary anal syphilis
00397 A512    1 Primary syphilis of other sites                              Primary syphilis of other sites
00398 A513    0 Secondary syphilis of skin and mucous membranes              Secondary syphilis of skin and mucous membranes
00399 A5131   1 Condyloma latum                                              Condyloma latum
00400 A5132   1 Syphilitic alopecia                                          Syphilitic alopecia
00401 A5139   1 Other secondary syphilis of skin                             Other secondary syphilis of skin
00402 A514    0 Other secondary syphilis                                     Other secondary syphilis
00403 A5141   1 Secondary syphilitic meningitis                              Secondary syphilitic meningitis
00404 A5142   1 Secondary syphilitic female pelvic disease                   Secondary syphilitic female pelvic disease
00405 A5143   1 Secondary syphilitic oculopathy                              Secondary syphilitic oculopathy
00406 A5144   1 Secondary syphilitic nephritis                               Secondary syphilitic nephritis
00407 A5145   1 Secondary syphilitic hepatitis                               Secondary syphilitic hepatitis
00408 A5146   1 Secondary syphilitic osteopathy                              Secondary syphilitic osteopathy
00409 A5149   1 Other secondary syphilitic conditions                        Other secondary syphilitic conditions
00410 A515    1 Early syphilis, latent                                       Early syphilis, latent
00411 A519    1 Early syphilis, unspecified                                  Early syphilis, unspecified
00412 A52     0 Late syphilis                                                Late syphilis
00413 A520    0 Cardiovascular and cerebrovascular syphilis                  Cardiovascular and cerebrovascular syphilis
00414 A5200   1 Cardiovascular syphilis, unspecified                         Cardiovascular syphilis, unspecified
00415 A5201   1 Syphilitic aneurysm of aorta                                 Syphilitic aneurysm of aorta
00416 A5202   1 Syphilitic aortitis                                          Syphilitic aortitis
